Dist Code,District Name,Org Level,CESA,Cty Code,County Name,School Year,Days of Instruction,Actual Days of Attendance,Possible Days of Attendance,ADA,ADM
3983,North Fond du Lac,D,6,20,Fond du Lac,2018-2019,174,239445.5,251804,1376.12,1447.15
3990,Norwalk-Ontario-Wilton,D,4,41,Monroe,2018-2019,180,102752,108815,570.84,604.53
4011,Norway J7,D,2,51,Racine,2018-2019,180,17722,18272,98.46,101.51
4018,Oak Creek-Franklin Joint,D,1,40,Milwaukee,2018-2019,173,1041521.5,1099898.5,6020.36,6357.79
4025,Oakfield,D,6,20,Fond du Lac,2018-2019,181,87644,90974,484.22,502.62
4060,Oconomowoc Area,D,1,67,Waukesha,2018-2019,171,846025,892152.5,4947.51,5217.27
4067,Oconto Unified,D,8,42,Oconto,2018-2019,169,165032,173584,976.52,1027.12
4074,Oconto Falls Public,D,8,42,Oconto,2018-2019,171,276313,288859,1615.87,1689.23
4088,Omro,D,6,70,Winnebago,2018-2019,171,187311.5,196281,1095.39,1147.84
4095,Onalaska,D,4,32,La Crosse,2018-2019,176,497168,518904.5,2824.82,2948.32
4137,Oostburg,D,7,59,Sheboygan,2018-2019,176,167665,173839,952.64,987.72
4144,Oregon,D,2,13,Dane,2018-2019,174,680140.5,701938,3908.85,4034.13
4151,Parkview,D,2,53,Rock,2018-2019,170,130597,138250,768.22,813.24
4165,Osceola,D,11,48,Polk,2018-2019,167,258812.5,273085,1549.78,1635.24
4179,Oshkosh Area,D,6,70,Winnebago,2018-2019,176,1601205,1701981.5,9097.76,9670.35
4186,Osseo-Fairchild,D,10,61,Trempealeau,2018-2019,172,131218,137769,762.9,800.98
4207,Owen-Withee,D,10,10,Clark,2018-2019,171,81798.5,82180,478.35,480.58
4221,Palmyra-Eagle Area,D,2,28,Jefferson,2018-2019,168,124064,130690,738.48,777.92
4228,Pardeeville Area,D,5,11,Columbia,2018-2019,168,125878.5,130924.5,749.28,779.31
4235,Paris J1,D,2,30,Kenosha,2018-2019,173,54236.5,54257,313.51,313.62
4263,Beecher-Dunbar-Pembine,D,8,38,Marinette,2018-2019,165,33253.5,35188,201.54,213.26
4270,Pepin Area,D,11,46,Pepin,2018-2019,164,34974,36442,213.26,222.21
4305,Peshtigo,D,8,38,Marinette,2018-2019,167,187774,196676,1124.4,1177.7
4312,Pewaukee,D,1,67,Waukesha,2018-2019,172,494084,515875,2872.58,2999.27
4330,Phelps,D,9,63,Vilas,2018-2019,167,20759,22101,124.31,132.34
4347,Phillips,D,12,50,Price,2018-2019,175,132102,138477,754.87,791.3
4368,Pittsville,D,5,71,Wood,2018-2019,178,92224.5,95720,518.12,537.75
4375,Tri-County Area,D,5,69,Waushara,2018-2019,172,101036,105549,587.42,613.66
4389,Platteville,D,3,22,Grant,2018-2019,177,237398,248859,1341.23,1405.98
4459,Plum City,D,11,47,Pierce,2018-2019,163,44415.5,45805,272.49,281.01
4473,Plymouth Joint,D,7,59,Sheboygan,2018-2019,168,348780.5,366278,2076.07,2180.23
4501,Portage Community,D,5,11,Columbia,2018-2019,179,355651.5,376738.5,1986.88,2104.68
4508,Port Edwards,D,5,71,Wood,2018-2019,173,72164.5,74981,417.14,433.42
4515,Port Washington-Saukville,D,1,45,Ozaukee,2018-2019,179,428184.5,447068,2392.09,2497.59
4522,South Shore,D,12,4,Bayfield,2018-2019,165,26016.5,27612,157.68,167.35
4529,Potosi,D,3,22,Grant,2018-2019,166,56273.5,58901,339,354.83
4536,Poynette,D,5,11,Columbia,2018-2019,171,168472.5,175833,985.22,1028.26
4543,Prairie du Chien Area,D,3,12,Crawford,2018-2019,173,196379.5,202743,1135.14,1171.92
4557,Prairie Farm Public,D,11,3,Barron,2018-2019,169,59603,61741,352.68,365.33
4571,Prentice,D,9,50,Price,2018-2019,178,60599.5,63952,340.45,359.28
