SCHOOL_YEAR,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,WTCS_CODE,LOCALE_CODE,LOCALE_NAME,LATITUDE,LONGITUDE,FULL_NCES_CODE,DISTRICT_CODE,SCHOOL_CODE,DISTRICT_NAME,AGENCY_TYPE,SCHOOL_NAME,GRADE_GROUP,LOW_GRADE,HIGH_GRADE,SCHOOL_SIZE,CHARTER_IND,VIRTUAL_SCH_IND,TITLE_1A_PROGRAM_CODE,TITLE_1A_PROGRAM_NAME
2018-19,1,51,Racine,,Not Applicable,,13,Small city,42.729068,-87.797012,5.50005E+11,8110,100,21st Century Preparatory School,Non District Charter Schools,21st Century Preparatory School,Elementary School,K4,8,Large,Yes,No,SWP,School-wide Program
2018-19,10,10,Clark,125,Marawood - North,,41,Rural - fringe,44.949253,-90.332015,5.50003E+11,7,20,Abbotsford,Public school,Abbotsford Elementary,Elementary School,K4,5,Medium,No,No,SWP,School-wide Program
2018-19,10,10,Clark,125,Marawood - North,NC,41,Rural - fringe,44.945758,-90.329246,5.50003E+11,7,40,Abbotsford,Public school,Abbotsford Middle/Senior High,High School,6,12,Medium,No,No,SWP,School-wide Program
2018-19,10,10,Clark,125,Marawood - North,NC,,Unknown,,,Unknown,7,9100,Abbotsford,Public Schools-Multidistrict Charters,Rural Virtual Academy,Combined Elementary/Secondary School,K4,12,Tiny,Yes,Yes,,Not Title I
2018-19,5,1,Adams,39,South Central,,43,Rural - remote,43.964611,-89.809959,5.50006E+11,14,130,Adams-Friendship Area,Public school,Adams-Friendship Elementary,Elementary School,K4,4,Medium,No,No,SWP,School-wide Program
2018-19,5,1,Adams,39,South Central,MS,43,Rural - remote,43.965011,-89.800949,5.50006E+11,14,40,Adams-Friendship Area,Public school,Adams-Friendship High,High School,9,12,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,5,1,Adams,39,South Central,,43,Rural - remote,43.964321,-89.814819,5.50006E+11,14,210,Adams-Friendship Area,Public school,Adams-Friendship Middle,Middle School,5,8,Medium,No,No,SWP,School-wide Program
2018-19,5,1,Adams,39,South Central,,43,Rural - remote,43.88747,-89.701934,5.50006E+11,14,140,Adams-Friendship Area,Public school,Grand Marsh Elementary,Elementary School,K4,4,Small,No,No,SWP,School-wide Program
2018-19,2,23,Green,38,Six Rivers,,42,Rural - distant,42.706871,-89.433723,5.50012E+11,63,60,Albany,Public school,Albany Community Middle,Middle School,6,8,Small,No,No,TAS,Targeted Assistance eligible and funded
2018-19,2,23,Green,38,Six Rivers,,42,Rural - distant,42.706871,-89.433723,5.50012E+11,63,20,Albany,Public school,Albany Elementary,Elementary School,K4,5,Small,No,No,SWP,School-wide Program
2018-19,2,23,Green,38,Six Rivers,BH,42,Rural - distant,42.706871,-89.433723,5.50012E+11,63,40,Albany,Public school,Albany High,High School,9,12,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,7,31,Kewaunee,33,Packerland,,32,Distant town,44.606719,-87.440055,5.50015E+11,70,20,Algoma,Public school,Algoma Elementary,Elementary School,K4,6,Medium,No,No,SWP,School-wide Program
2018-19,7,31,Kewaunee,33,Packerland,NE,32,Distant town,44.597503,-87.444198,5.50015E+11,70,40,Algoma,Public school,Algoma High,High School,7,12,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,4,6,Buffalo,11,Dairyland,,43,Rural - remote,44.360542,-91.941535,5.50018E+11,84,20,Alma,Public school,Alma Elementary,Elementary School,K4,8,Small,No,No,SWP,School-wide Program
2018-19,4,6,Buffalo,11,Dairyland,CV,43,Rural - remote,44.360542,-91.941535,5.50018E+11,84,40,Alma,Public school,Alma High,High School,9,12,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,4,27,Jackson,11,Dairyland,,42,Rural - distant,44.451377,-90.839271,5.50021E+11,91,80,Alma Center,Public school,Lincoln Elementary,Elementary School,K4,6,Medium,No,No,SWP,School-wide Program
2018-19,4,27,Jackson,11,Dairyland,CV,42,Rural - distant,44.436958,-90.915603,5.50021E+11,91,60,Alma Center,Public school,Lincoln High,High School,9,12,Small,No,No,SWPNF,School-wide Program eligible but not funded
2018-19,4,27,Jackson,11,Dairyland,,42,Rural - distant,44.436958,-90.915603,5.50021E+11,91,70,Alma Center,Public school,Lincoln Junior High,Junior High School,7,8,Small,No,No,SWPNF,School-wide Program eligible but not funded
2018-19,5,49,Portage,155,Central Wisconsin - 10,,43,Rural - remote,44.26052,-89.413269,5.50024E+11,105,20,Almond-Bancroft,Public school,Almond-Bancroft Elementary,Elementary School,K4,5,Small,No,No,SWP,School-wide Program
2018-19,5,49,Portage,155,Central Wisconsin - 10,MS,43,Rural - remote,44.26052,-89.413269,5.50024E+11,105,40,Almond-Bancroft,Public school,Almond-Bancroft High,High School,9,12,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,5,49,Portage,155,Central Wisconsin - 10,,,Unknown,,,5.50024E+11,105,250,Almond-Bancroft,Public school,Almond-Bancroft Middle,Middle School,6,8,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,10,18,Eau Claire,121,Cloverbelt - West,,22,Mid-size suburb,44.80191,-91.438957,5.50027E+11,112,80,Altoona,Public school,Altoona Elementary,Elementary School,K4,3,Large,No,No,SWP,School-wide Program
2018-19,10,18,Eau Claire,121,Cloverbelt - West,CV,22,Mid-size suburb,44.801959,-91.441978,5.50027E+11,112,40,Altoona,Public school,Altoona High,High School,9,12,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,10,18,Eau Claire,121,Cloverbelt - West,,22,Mid-size suburb,44.802028,-91.440948,5.50027E+11,112,100,Altoona,Public school,Altoona Intermediate,Elementary School,4,5,Medium,No,No,SWP,School-wide Program
2018-19,10,18,Eau Claire,121,Cloverbelt - West,,22,Mid-size suburb,44.802028,-91.440948,5.50027E+11,112,60,Altoona,Public school,Altoona Middle,Middle School,6,8,Medium,No,No,SWP,School-wide Program
2018-19,11,48,Polk,26,Middle Border,IN,41,Rural - fringe,45.301776,-92.351928,5.5003E+11,119,40,Amery,Public school,Amery High,High School,9,12,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,11,48,Polk,26,Middle Border,,41,Rural - fringe,45.302089,-92.351921,5.5003E+11,119,50,Amery,Public school,Amery Intermediate,Elementary School,3,5,Medium,No,No,TAS,Targeted Assistance eligible and funded
2018-19,11,48,Polk,26,Middle Border,,41,Rural - fringe,45.303314,-92.35189,5.5003E+11,119,60,Amery,Public school,Amery Middle,Middle School,6,8,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,11,48,Polk,26,Middle Border,,41,Rural - fringe,45.304416,-92.35189,5.5003E+11,119,20,Amery,Public school,Lien Elementary,Elementary School,K4,2,Medium,No,No,TAS,Targeted Assistance eligible and funded
2018-19,9,34,Langlade,124,Great Northern,NC,41,Rural - fringe,45.1329,-89.175727,5.50036E+11,140,70,Antigo Unified,Public school,Antigo High,High School,9,12,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,9,34,Langlade,124,Great Northern,,32,Distant town,45.137737,-89.154502,5.50036E+11,140,50,Antigo Unified,Public school,Antigo Middle,Middle School,6,8,Medium,No,No,TAS,Targeted Assistance eligible and funded
2018-19,9,34,Langlade,124,Great Northern,,42,Rural - distant,45.110759,-89.071739,5.50036E+11,140,80,Antigo Unified,Public school,Crestwood Elementary,Elementary School,PK,5,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,9,34,Langlade,124,Great Northern,,32,Distant town,45.137619,-89.143035,5.50036E+11,140,100,Antigo Unified,Public school,East Elementary,Elementary School,PK,5,Small,No,No,SWP,School-wide Program
2018-19,9,34,Langlade,124,Great Northern,,41,Rural - fringe,45.147075,-89.14859,5.50036E+11,140,180,Antigo Unified,Public school,North Elementary,Elementary School,PK,5,Small,No,No,SWP,School-wide Program
2018-19,9,34,Langlade,124,Great Northern,,41,Rural - fringe,45.118614,-89.211051,5.50036E+11,140,200,Antigo Unified,Public school,Pleasant View Elementary,Elementary School,K4,5,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,9,34,Langlade,124,Great Northern,NC,,Unknown,,,Unknown,140,9100,Antigo Unified,Public Schools-Multidistrict Charters,Rural Virtual Academy,Combined Elementary/Secondary School,K4,12,Small,Yes,Yes,,Not Title I
2018-19,9,34,Langlade,124,Great Northern,,42,Rural - distant,45.198635,-89.07286,5.50036E+11,140,260,Antigo Unified,Public school,Spring Valley Elementary,Elementary School,PK,5,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,9,34,Langlade,124,Great Northern,,32,Distant town,45.137924,-89.163528,5.50036E+11,140,280,Antigo Unified,Public school,West Elementary,Elementary School,PK,5,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.27005,-88.406593,5.50039E+11,147,155,Appleton Area,Public school,Appleton Bilingual School,Elementary School,KG,6,Small,Yes,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.259258,-88.41452,5.50039E+11,147,165,Appleton Area,Public school,Appleton Community 4K,Elementary School,K4,K4,Large,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.25922,-88.411277,5.50039E+11,147,800,Appleton Area,Public school,Appleton Cooperative Educational Center,Combined Elementary/Secondary School,4,12,Tiny,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.246189,-88.373329,5.50039E+11,147,440,Appleton Area,Public school,Appleton eSchool,High School,7,12,Small,Yes,Yes,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,41,Rural - fringe,44.328979,-88.394912,5.50039E+11,147,145,Appleton Area,Public school,Appleton Public Montessori,Elementary School,K4,6,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,,,5.50039E+11,147,490,Appleton Area,Public school,Appleton Technical Academy,High School,9,12,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,,,5.50039E+11,147,820,Appleton Area,Public school,Appleview,Combined Elementary/Secondary School,K4,12,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,22,Mid-size suburb,44.258369,-88.456344,5.50039E+11,147,60,Appleton Area,Public school,Badger Elementary,Elementary School,PK,6,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.227668,-88.378311,5.50039E+11,147,220,Appleton Area,Public school,Berry Elementary,Elementary School,PK,6,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.294109,-88.401542,5.50039E+11,147,110,Appleton Area,Public school,Classical School,Elementary School,KG,8,Medium,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.27005,-88.406593,5.50039E+11,147,80,Appleton Area,Public school,Columbus Elementary,Elementary School,PK,6,Small,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.246189,-88.373329,5.50039E+11,147,20,Appleton Area,Public school,East High,High School,9,12,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.26514,-88.394462,5.50039E+11,147,100,Appleton Area,Public school,Edison Elementary,Elementary School,PK,6,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.29198,-88.399429,5.50039E+11,147,120,Appleton Area,Public school,Einstein Middle,Middle School,7,8,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.293689,-88.398887,5.50039E+11,147,130,Appleton Area,Public school,Ferber Elementary,Elementary School,PK,6,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.31417,-88.371711,5.50039E+11,147,450,Appleton Area,Public school,Fox Cities Leadership Academy,High School,9,12,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.25378,-88.425117,5.50039E+11,147,135,Appleton Area,Public school,Fox River Academy,Elementary School,KG,8,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.282569,-88.401908,5.50039E+11,147,160,Appleton Area,Public school,Franklin Elementary,Elementary School,PK,6,Medium,No,No,TAS,Targeted Assistance eligible and funded
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.281299,-88.428741,5.50039E+11,147,180,Appleton Area,Public school,Highlands Elementary,Elementary School,PK,6,Large,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.237861,-88.371803,5.50039E+11,147,190,Appleton Area,Public school,Horizons Elementary,Elementary School,PK,6,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,22,Mid-size suburb,44.293899,-88.443092,5.50039E+11,147,195,Appleton Area,Public school,Houdini Elementary,Elementary School,PK,6,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.28268,-88.381004,5.50039E+11,147,200,Appleton Area,Public school,Huntley Elementary,Elementary School,PK,6,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.25378,-88.425117,5.50039E+11,147,240,Appleton Area,Public school,Jefferson Elementary,Elementary School,PK,6,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.254219,-88.366157,5.50039E+11,147,260,Appleton Area,Public school,Johnston Elementary,Elementary School,PK,6,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.275199,-88.40184,5.50039E+11,147,250,Appleton Area,Public school,Kaleidoscope Academy,Middle School,6,8,Large,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.270759,-88.424652,5.50039E+11,147,280,Appleton Area,Public school,Lincoln Elementary,Elementary School,PK,6,Medium,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.243106,-88.392875,5.50039E+11,147,300,Appleton Area,Public school,Madison Middle,Middle School,7,8,Large,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.239738,-88.388732,5.50039E+11,147,320,Appleton Area,Public school,McKinley Elementary,Elementary School,PK,6,Large,No,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.31417,-88.371711,5.50039E+11,147,30,Appleton Area,Public school,North High,High School,9,12,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.281299,-88.428741,5.50039E+11,147,210,Appleton Area,Public school,Odyssey-Magellan,Elementary School,3,8,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.26831,-88.427787,5.50039E+11,147,420,Appleton Area,Public school,Renaissance School,High School,9,12,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.255458,-88.382728,5.50039E+11,147,340,Appleton Area,Public school,Richmond Elementary,Elementary School,PK,6,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.244731,-88.408279,5.50039E+11,147,150,Appleton Area,Public school,Stephen Foster Elementary Charter,Elementary School,PK,6,Medium,Yes,No,SWP,School-wide Program
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.246189,-88.373329,5.50039E+11,147,430,Appleton Area,Public school,Tesla Engineering Charter School,High School,9,12,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.262191,-88.405937,5.50039E+11,147,460,Appleton Area,Public school,Valley New School,High School,7,12,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.26831,-88.427787,5.50039E+11,147,40,Appleton Area,Public school,West High,High School,9,12,Large,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,6,44,Outagamie,16,Fox Valley Association,,13,Small city,44.263629,-88.424407,5.50039E+11,147,410,Appleton Area,Public school,Wilson Middle,Middle School,7,8,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,6,44,Outagamie,16,Fox Valley Association,FV,13,Small city,44.264923,-88.405105,5.50039E+11,147,850,Appleton Area,Public school,Wisconsin Connections Academy,Combined Elementary/Secondary School,K4,12,Large,Yes,Yes,TASNF,Targeted Assistance eligible but not funded
2018-19,4,61,Trempealeau,10,Coulee,,32,Distant town,,,5.50042E+11,154,190,Arcadia,Public school,Arcadia Elementary,Elementary School,K4,4,Large,No,No,SWP,School-wide Program
2018-19,4,61,Trempealeau,10,Coulee,WW,32,Distant town,44.255435,-91.507247,5.50042E+11,154,40,Arcadia,Public school,Arcadia High,High School,9,12,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,4,61,Trempealeau,10,Coulee,,32,Distant town,,,5.50042E+11,154,290,Arcadia,Public school,Arcadia Middle,Middle School,5,8,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,3,33,Lafayette,38,Six Rivers,,42,Rural - distant,42.707248,-89.869201,5.50045E+11,161,20,Argyle,Public school,Argyle Elementary,Elementary School,K4,5,Small,No,No,TAS,Targeted Assistance eligible and funded
2018-19,3,33,Lafayette,38,Six Rivers,SW,42,Rural - distant,42.707248,-89.869201,5.50045E+11,161,40,Argyle,Public school,Argyle High,High School,9,12,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,3,33,Lafayette,38,Six Rivers,,,Unknown,,,5.50045E+11,161,250,Argyle,Public school,Argyle Middle,Middle School,6,8,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,1,67,Waukesha,8,Classic Eight,WA,21,Large suburb,43.113677,-88.343406,5.50618E+11,2450,20,Arrowhead UHS,Public school,Arrowhead High,High School,9,12,Large,No,No,SWP,School-wide Program
2018-19,12,2,Ashland,29,No WI Affiliation,IN,33,Remote town,46.572231,-90.882949,5.50051E+11,170,20,Ashland,Public school,Ashland High,High School,9,12,Large,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,12,2,Ashland,29,No WI Affiliation,,33,Remote town,46.58395,-90.874069,5.50051E+11,170,30,Ashland,Public school,Ashland Middle,Middle School,6,8,Medium,No,No,SWP,School-wide Program
2018-19,12,2,Ashland,29,No WI Affiliation,IN,33,Remote town,,,5.50051E+11,170,400,Ashland,Public school,Lake Superior High,High School,9,12,Small,Yes,No,TASNF,Targeted Assistance eligible but not funded
2018-19,12,2,Ashland,29,No WI Affiliation,,33,Remote town,46.568759,-90.877792,5.50051E+11,170,60,Ashland,Public school,Lake Superior Intermediate,Elementary School,3,5,Medium,No,No,SWP,School-wide Program
2018-19,12,2,Ashland,29,No WI Affiliation,,33,Remote town,46.568759,-90.877792,5.50051E+11,170,130,Ashland,Public school,Lake Superior Learning Community,Elementary School,3,6,Small,Yes,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,12,2,Ashland,29,No WI Affiliation,,33,Remote town,46.568759,-90.877792,5.50051E+11,170,80,Ashland,Public school,Lake Superior Primary,Elementary School,K4,2,Medium,No,No,SWP,School-wide Program
2018-19,12,2,Ashland,29,No WI Affiliation,,42,Rural - distant,46.442981,-90.875038,5.50051E+11,170,120,Ashland,Public school,Marengo Valley Elementary,Elementary School,PK,5,Small,No,No,SWP,School-wide Program
2018-19,12,2,Ashland,29,No WI Affiliation,,33,Remote town,,,5.50051E+11,170,250,Ashland,Public school,Oredocker Project School,Middle School,6,8,Small,Yes,No,TAS,Targeted Assistance eligible and funded
2018-19,7,5,Brown,54,Fox River Classic,NE,22,Mid-size suburb,44.488048,-88.073471,5.50054E+11,182,20,Ashwaubenon,Public school,Ashwaubenon High,High School,9,12,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,7,5,Brown,54,Fox River Classic,,22,Mid-size suburb,44.484638,-88.04898,5.50054E+11,182,55,Ashwaubenon,Public school,Cormier School and Early Learning Center,Elementary School,K4,KG,Medium,No,No,SWP,School-wide Program
2018-19,7,5,Brown,54,Fox River Classic,,22,Mid-size suburb,44.488307,-88.070152,5.50054E+11,182,45,Ashwaubenon,Public school,Parkview Middle,Middle School,6,8,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,7,5,Brown,54,Fox River Classic,,22,Mid-size suburb,44.487148,-88.091369,5.50054E+11,182,50,Ashwaubenon,Public school,Pioneer Elementary,Elementary School,KG,5,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,7,5,Brown,54,Fox River Classic,,22,Mid-size suburb,44.494529,-88.071769,5.50054E+11,182,60,Ashwaubenon,Public school,Valley View Elementary,Elementary School,KG,5,Large,No,No,SWP,School-wide Program
2018-19,9,37,Marathon,125,Marawood - North,,42,Rural - distant,45.034709,-90.078048,5.50057E+11,196,20,Athens,Public school,Athens Elementary,Elementary School,K4,5,Small,No,No,SWP,School-wide Program
2018-19,9,37,Marathon,125,Marawood - North,NC,42,Rural - distant,45.030078,-90.086051,5.50057E+11,196,40,Athens,Public school,Athens High,High School,9,12,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,9,37,Marathon,125,Marawood - North,,42,Rural - distant,45.030078,-90.086051,5.50057E+11,196,60,Athens,Public school,Athens Middle,Middle School,6,8,Small,No,No,SWP,School-wide Program
2018-19,5,71,Wood,126,Marawood - South,,42,Rural - distant,44.629238,-90.011047,5.5006E+11,203,40,Auburndale,Public school,Auburndale Elementary,Elementary School,K4,5,Medium,No,No,SWP,School-wide Program
2018-19,5,71,Wood,126,Marawood - South,MS,42,Rural - distant,44.632228,-90.006507,5.5006E+11,203,60,Auburndale,Public school,Auburndale High,High School,6,12,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,5,71,Wood,126,Marawood - South,MS,,Unknown,,,Unknown,203,9100,Auburndale,Public Schools-Multidistrict Charters,Rural Virtual Academy,Combined Elementary/Secondary School,K4,12,Tiny,Yes,Yes,,Not Title I
2018-19,10,18,Eau Claire,11,Dairyland,,42,Rural - distant,44.68552,-91.138473,5.50063E+11,217,20,Augusta,Public school,Augusta Elementary,Elementary School,K4,5,Medium,No,No,SWP,School-wide Program
2018-19,10,18,Eau Claire,11,Dairyland,CV,42,Rural - distant,44.68552,-91.138473,5.50063E+11,217,40,Augusta,Public school,Augusta High,High School,9,12,Small,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,10,18,Eau Claire,11,Dairyland,,42,Rural - distant,44.68552,-91.138473,5.50063E+11,217,200,Augusta,Public school,Augusta Middle,Middle School,6,8,Small,No,No,SWP,School-wide Program
2018-19,10,18,Eau Claire,11,Dairyland,CV,42,Rural - distant,44.68552,-91.138473,5.50063E+11,217,410,Augusta,Public school,Wildlands Charter School,High School,7,12,Small,Yes,No,TASNF,Targeted Assistance eligible but not funded
2018-19,11,55,Saint Croix,26,Middle Border,IN,41,Rural - fringe,44.967254,-92.378692,5.50072E+11,231,40,Baldwin-Woodville Area,Public school,Baldwin-Woodville High,High School,9,12,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,11,55,Saint Croix,26,Middle Border,,41,Rural - fringe,44.965183,-92.381088,5.50072E+11,231,70,Baldwin-Woodville Area,Public school,Greenfield Elementary,Elementary School,K4,5,Large,No,No,TAS,Targeted Assistance eligible and funded
2018-19,11,55,Saint Croix,26,Middle Border,,42,Rural - distant,44.946063,-92.289184,5.50072E+11,231,90,Baldwin-Woodville Area,Public school,Viking Middle,Middle School,6,8,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,4,32,La Crosse,37,Scenic Bluffs,,41,Rural - fringe,43.887847,-90.986305,5.50078E+11,245,20,Bangor,Public school,Bangor Elementary,Elementary School,K4,5,Medium,No,No,TAS,Targeted Assistance eligible and funded
2018-19,4,32,La Crosse,37,Scenic Bluffs,WW,41,Rural - fringe,43.889141,-90.983078,5.50078E+11,245,40,Bangor,Public school,Bangor Middle/High,High School,6,12,Medium,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.458179,-89.738021,5.50081E+11,280,180,Baraboo,Public school,Al Behrman Elementary,Elementary School,PK,5,Medium,No,No,SWP,School-wide Program
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.472438,-89.749824,5.50081E+11,280,150,Baraboo,Public school,Baraboo Early Learning Cooperative,Elementary School,K4,K4,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.472438,-89.749824,5.50081E+11,280,160,Baraboo,Public school,Baraboo Early Learning Cooperative RHS Renewal Head Start of Baraboo,Elementary School,K4,K4,Small,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,5,56,Sauk,114,Badger - North,MA,32,Distant town,43.477531,-89.756637,5.50081E+11,280,40,Baraboo,Public school,Baraboo High,High School,9,12,Large,No,No,NELG,LEA no allocation/School ineligible based on TI application ranking
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.473541,-89.729949,5.50081E+11,280,60,Baraboo,Public school,East Elementary,Elementary School,K4,5,Medium,No,No,SWP,School-wide Program
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.48035,-89.75679,5.50081E+11,280,20,Baraboo,Public school,Jack Young Middle,Middle School,6,8,Large,No,No,SWP,School-wide Program
2018-19,5,56,Sauk,114,Badger - North,,42,Rural - distant,43.468399,-89.867164,5.50081E+11,280,140,Baraboo,Public school,North Freedom Elementary,Elementary School,KG,5,Small,No,No,SWP,School-wide Program
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.472438,-89.749824,5.50081E+11,280,120,Baraboo,Public school,West Elementary-Kindergarten Center,Elementary School,K4,KG,Small,No,No,SWP,School-wide Program
2018-19,5,56,Sauk,114,Badger - North,,32,Distant town,43.478599,-89.760253,5.50081E+11,280,110,Baraboo,Public school,Willson Elementary,Elementary School,PK,5,Medium,No,No,SWP,School-wide Program
2018-19,3,25,Iowa,38,Six Rivers,,42,Rural - distant,43.011798,-89.894989,5.50084E+11,287,20,Barneveld,Public school,Barneveld Elementary,Elementary School,K4,5,Medium,No,No,MISS,LEA receives Title I-A allocation has not completed application
2018-19,3,25,Iowa,38,Six Rivers,SW,42,Rural - distant,43.011798,-89.894989,5.50084E+11,287,40,Barneveld,Public school,Barneveld High,High School,6,12,Medium,No,No,MISS,LEA receives Title I-A allocation has not completed application
