SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,REMOVAL_TYPE_DESCRIPTION,TFS_ENROLLMENT_COUNT,REMOVAL_COUNT
2018-19,School District,4,Trempealeau,485,,[All],No,Blair-Taylor,[Districtwide],All Students,All Students,Out of School Suspension,614,8
2018-19,School District,10,Chippewa,497,,[All],No,Bloomer,[Districtwide],All Students,All Students,Out of School Suspension,1279,50
2018-19,School District,8,Shawano,602,,[All],No,Bonduel,[Districtwide],All Students,All Students,Out of School Suspension,737,16
2018-19,School District,3,Grant,609,,[All],No,Boscobel Area,[Districtwide],All Students,All Students,Out of School Suspension,796,18
2018-19,School District,8,Shawano,623,,[All],No,Bowler,[Districtwide],All Students,All Students,Out of School Suspension,331,11
2018-19,School District,11,Dunn,637,,[All],No,Boyceville Community,[Districtwide],All Students,All Students,Out of School Suspension,712,3
2018-19,School District,2,Kenosha,657,,[All],No,Brighton #1,[Districtwide],All Students,All Students,Out of School Suspension,226,16
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,Out of School Suspension,978,5
2018-19,School District,2,Kenosha,665,,[All],No,Bristol #1,[Districtwide],All Students,All Students,Out of School Suspension,851,1
2018-19,School District,2,Green,700,,[All],No,Brodhead,[Districtwide],All Students,All Students,Out of School Suspension,1018,23
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,Out of School Suspension,1521,240
2018-19,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],All Students,All Students,Out of School Suspension,441,19
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Expulsion with Services Offered,3145,1
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Out of School Suspension,3145,80
