OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
154,Kiel Area,no data,no data,26,7,36,Manitowoc,14,Eastern Wisconsin,2828,221253,1158.82,1209.03,1216,2828,5507440,Unified,126028.7641,282102672.8
155,Kimberly Area,4,no data,117,6,44,Outagamie,16,Fox Valley Association,2835,894136.5,4920.88,5109.35,5190,2835,5507470,Unified,31493.11901,34711120.7
156,Kohler,no data,no data,13,7,59,Sheboygan,300,Big East,2842,120382,666.76,687.9,703,2842,5507500,Unified,46361.63011,27689067.22
157,La Crosse,no data,no data,805,4,32,La Crosse,28,Mississippi Valley,2849,1076904,5946.75,6334.73,6637,2849,5507530,Unified,155297.4807,249452628
158,La Farge,no data,no data,6,4,62,Vernon,35,Ridge & Valley,2863,38775,223.11,235,218,2863,5507560,Unified,104685.8753,183997277.6
392,Lac du Flambeau #1,no data,no data,51,9,63,Vilas,124,Great Northern,1848,88751,468.38,498.6,510,1848,5504620,Elementary,84613.61153,330832137.3
159,Ladysmith,no data,no data,24,10,54,Rusk,18,Heart O'North,2856,131376,706.49,755.03,806,2856,5507590,Unified,115709.561,283295239.4
393,Lake Country,no data,no data,5,1,67,Waukesha,8,Classic Eight,3862,87609,489.03,512.33,499,3862,5500013,Elementary,33554.22937,23089091.38
394,Lake Geneva J1,2,2,33,2,64,Walworth,41,Southern Lakes,2885,327510.5,1817.82,1915.27,1918,2885,5507620,Elementary,92132.13253,145084377.5
373,Lake Geneva-Genoa City UHS,3,no data,100,2,64,Walworth,41,Southern Lakes,2884,241402.5,1340.35,1411.71,1432,2884,5507650,Secondary,97116.1466,248315152.1
160,Lake Holcombe,no data,no data,8,10,9,Chippewa,261,Lakeland - East,2891,53847,303.78,320.52,316,2891,5507680,Unified,130527.803,469563335.5
161,Lake Mills Area,no data,no data,19,2,28,Jefferson,116,Capitol - North,2898,260467.5,1466.75,1523.2,1588,2898,5507710,Unified,132619.3679,201376291.8
374,Lakeland UHS,1,2,139,9,43,Oneida,124,Great Northern,3647,122057,630.59,681.88,709,3647,5509630,Secondary,231786.4918,1946303083
162,Lancaster Community,2,no data,44,3,22,Grant,42,Southwest Wisconsin,2912,164554,903.78,951.18,963,2912,5507770,Unified,250602.2757,377705334
163,Laona,no data,no data,3,8,21,Forest,31,Northern Lakes,2940,43214,240.42,257.23,261,2940,5507830,Unified,134641.5789,629026679.5
164,Lena,no data,no data,1,8,42,Oconto,25,Marinette-Oconto,2961,66485,380.93,395.74,388,2961,5507860,Unified,78241.15534,224887446.8
395,Linn J4,no data,no data,no data,2,64,Walworth,41,Southern Lakes,3087,19670,110.67,116.39,119,3087,5508040,Elementary,33534.47995,40213565.81
396,Linn J6,no data,no data,no data,2,64,Walworth,36,Rock Valley,3094,25243,134.21,141.02,148,3094,5508070,Elementary,38474.30681,43764680.02
165,Little Chute Area,no data,no data,63,6,44,Outagamie,301,North Eastern,3129,264678.5,1449.58,1529.93,1602,3129,5508160,Unified,14238.48873,8214426.895
166,Lodi,no data,no data,40,5,11,Columbia,116,Capitol - North,3150,246397,1348.99,1399.98,1493,3150,5508190,Unified,102083.5222,248633169.6
167,Lomira,no data,no data,21,6,14,Dodge,51,Wisconsin Flyway,3171,189674,1053.14,1102.76,1080,3171,5508220,Unified,123532.9967,191726522.9
168,Loyal,no data,no data,no data,10,10,Clark,120,Cloverbelt - East,3206,81916.5,477.98,496.46,502,3206,5508250,Unified,128765.9841,291923396.1
169,Luck,no data,no data,23,11,48,Polk,262,Lakeland - West,3213,73130,406.88,425.17,438,3213,5508280,Unified,152215.117,283226353.7
170,Luxemburg-Casco,no data,no data,30,7,31,Kewaunee,301,North Eastern,3220,325112,1847.28,1912.42,1910,3220,5508340,Unified,116664.1716,444327165.2
171,Madison Metropolitan,no data,no data,2547,2,13,Dane,3,Big Eight,3269,4578045.5,23633.94,25575.67,26917,3269,5508520,Unified,237636.6891,248933022.2
172,Manawa,no data,3,30,6,68,Waupaca,156,Central Wisconsin - 8,3276,107822,594.15,626.87,637,3276,5508550,Unified,105751.5633,284634866.6
173,Manitowoc,no data,no data,319,7,36,Manitowoc,54,Fox River Classic,3290,847471.5,4677.04,5044.47,4961,3290,5508610,Unified,108432.3471,239929004
174,Maple,no data,no data,63,12,16,Douglas,18,Heart O'North,3297,241076,1281.25,1354.36,1341,3297,5508640,Unified,189268.4887,1155719584
397,Maple Dale-Indian Hill,no data,no data,10,1,40,Milwaukee,30,North Shore,1897,83468,449.94,468.92,471,1897,5504770,Elementary,18696.18605,16134328.47
175,Marathon City,no data,no data,18,9,37,Marathon,126,Marawood - South,3304,120352,667.33,699.72,731,3304,5508670,Unified,114201.0356,269372914.6
176,Marinette,no data,no data,102,8,38,Marinette,301,North Eastern,3311,341483,1870.84,2008.72,2033,3311,5508700,Unified,141702.1461,252241793.3
177,Marion,no data,no data,17,8,68,Waupaca,155,Central Wisconsin - 10,3318,71472,392.06,420.42,438,3318,5508730,Unified,136550.0033,329188628.5
178,Markesan,no data,no data,21,6,24,Green Lake,43,Trailways,3325,139176,768.02,809.16,814,3325,5508760,Unified,191469.1468,460490618.8
179,Marshall,no data,no data,61,2,13,Dane,117,Capitol - South,3332,164770,892.17,952.43,1030,3332,5508790,Unified,76182.60068,144708426.6
180,Marshfield Unified,1,1,144,5,71,Wood,46,Wisconsin Valley,3339,675837,3765.7,3929.28,4068,3339,5508820,Unified,160402.3289,489367038
181,Mauston,no data,no data,73,5,29,Juneau,39,South Central,3360,242743,1315,1411.3,1462,3360,5508850,Unified,166424.582,538360090.9
182,Mayville,no data,no data,33,6,14,Dodge,51,Wisconsin Flyway,3367,199106,1104.05,1164.36,1100,3367,5508880,Unified,143959.9255,253321938.5
183,Mcfarland,1,3,102,2,13,Dane,36,Rock Valley,3381,802558,4559.09,4666.03,4447,3381,5508910,Unified,81622.37105,60222194.46
184,Medford Area Public,no data,no data,46,10,60,Taylor,124,Great Northern,3409,476422,2769.95,2870.01,2755,3409,5508940,Unified,165309.213,907648111.6
185,Mellen,no data,no data,2,12,2,Ashland,20,Indianhead,3427,47686,255.21,264.92,271,3427,5508970,Unified,105501.6988,520898373.8
186,Melrose-Mindoro,no data,no data,28,4,27,Jackson,11,Dairyland,3428,124280,696.29,731.06,768,3428,5509000,Unified,170841.7795,492596709.4
187,Menasha Joint,no data,4,480,6,70,Winnebago,2,Bay,3430,569443.5,3126.73,3330.08,3432,3430,5509030,Unified,25340.38906,23657658.36
188,Menominee Indian,no data,no data,105,8,72,Menominee,155,Central Wisconsin - 10,3434,158991,774.43,908.52,921,3434,5509070,Unified,139937.0098,951290890.2
189,Menomonee Falls,no data,no data,106,1,67,Waukesha,17,Greater Metro,3437,693730,3833.69,4010,4002,3437,5509060,Unified,40513.98415,58243094.26
190,Menomonie Area,no data,1,234,11,17,Dunn,4,Big Rivers,3444,565938,3174.46,3388.85,3426,3444,5509090,Unified,256055.4593,640512318.7
191,Mequon-Thiensville,no data,no data,130,1,45,Ozaukee,30,North Shore,3479,687834,3843.3,4022.42,3771,3479,5509130,Unified,48280.08367,120982074.3
192,Mercer,no data,no data,no data,12,26,Iron,20,Indianhead,3484,24237,142.29,146.89,145,3484,5509150,Unified,99183.78231,478325986.6
193,Merrill Area,no data,5,254,9,35,Lincoln,46,Wisconsin Valley,3500,575821,3233.68,3367.37,3291,3500,5509210,Unified,217960.5566,1474040249
398,Merton Community,no data,no data,1,1,67,Waukesha,8,Classic Eight,3528,143835.5,803.44,836.25,844,3528,5509360,Elementary,36581.57781,33154227.72
194,Middleton-Cross Plains Area,no data,1,143,2,13,Dane,3,Big Eight,3549,1258034,6748.94,7147.92,7450,3549,5509510,Unified,145708.9776,201788842.5
195,Milton,no data,2,157,2,53,Rock,115,Badger - South,3612,562850,3108.44,3272.38,3487,3612,5509570,Unified,106717.692,313914021.9
196,Milwaukee,187,no data,22961,1,40,Milwaukee,27,Milwaukee City,3619,12994229,65971.83,75547.84,75431,3619,5509600,Unified,177014.1536,250088355.8
197,Mineral Point Unified,no data,no data,2,3,25,Iowa,131,Southwest Wisconsin Activities League,3633,126001,727.63,754.5,763,3633,5509660,Unified,194163.17,345823712.2
399,Minocqua J1,no data,no data,28,9,43,Oneida,124,Great Northern,3640,104178,563.68,591.92,613,3640,5509690,Elementary,132972.3737,645451585.2
198,Mishicot,no data,1,34,7,36,Manitowoc,300,Big East,3661,139805.5,785.62,817.58,859,3661,5509750,Unified,85415.16895,261636674
199,Mondovi,2,no data,39,10,6,Buffalo,122,Dunn-St. Croix - Large,3668,154041.5,890.31,927.96,991,3668,5509780,Unified,149316.3208,483488937.1
200,Monona Grove,no data,no data,143,2,13,Dane,115,Badger - South,3675,563076.5,3081.14,3254.78,3454,3675,5509810,Unified,79002.50285,61899116.04
201,Monroe,no data,no data,195,2,23,Green,115,Badger - South,3682,406433,2163.12,2270.58,2353,3682,5509840,Unified,189748.5131,414116232.6
202,Montello,no data,no data,1,5,39,Marquette,43,Trailways,3689,112941,587.58,627.45,668,3689,5509870,Unified,144516.5522,460857277.7
203,Monticello,no data,1,5,2,23,Green,38,Six Rivers,3696,58469,331.96,345.97,341,3696,5509900,Unified,124048.4848,167636172.4
204,Mosinee,no data,no data,56,9,37,Marathon,124,Great Northern,3787,332176,1846.7,1942.55,2016,3787,5509960,Unified,159976.1308,606747931
205,Mount Horeb Area,no data,no data,60,2,13,Dane,114,Badger - North,3794,424169.5,2299.16,2423.83,2522,3794,5509990,Unified,156737.5288,372863771.8
206,Mukwonago,2,1,199,1,67,Waukesha,8,Classic Eight,3822,849978.5,4681.37,4884.93,5040,3822,5510060,Unified,103521.5257,225091316
207,Muskego-Norway,no data,no data,107,1,67,Waukesha,8,Classic Eight,3857,831863,4558.81,4753.5,4850,3857,5510170,Unified,50554.49427,112221600.7
208,Necedah Area,no data,2,13,5,29,Juneau,37,Scenic Bluffs,3871,109098,614.81,645.55,699,3871,5510230,Unified,151887.2277,593719709
209,Neenah Joint,1,4,497,6,70,Winnebago,16,Fox Valley Association,3892,1088481.5,6023.12,6365.39,6714,3892,5510320,Unified,77387.61663,152546293
210,Neillsville,no data,4,63,10,10,Clark,120,Cloverbelt - East,3899,155779,875.67,916.35,927,3899,5510350,Unified,145077.1539,707071250.6
211,Nekoosa,no data,no data,12,5,71,Wood,39,South Central,3906,205779,1109.88,1169.2,1183,3906,5510380,Unified,115266.2776,421301199.5
212,New Auburn,no data,3,22,10,9,Chippewa,261,Lakeland - East,3920,53169,300.11,314.61,316,3920,5510440,Unified,131058.7268,226759780.8
213,New Berlin,no data,no data,111,1,67,Waukesha,47,Woodland,3925,757488,4279.38,4429.75,4348,3925,5510470,Unified,41270.9169,89677396.21
214,New Glarus,no data,1,28,2,23,Green,117,Capitol - South,3934,163240.5,913.61,960.24,989,3934,5510500,Unified,114985.1596,199450735.3
215,New Holstein,no data,no data,8,7,8,Calumet,14,Eastern Wisconsin,3941,179711,989.05,1026.92,1063,3941,5510530,Unified,123103.6051,336538037
216,New Lisbon,no data,1,18,5,29,Juneau,37,Scenic Bluffs,3948,107454,596.15,635.82,660,3948,5510560,Unified,143969.9188,310687060.9
217,New London,1,3,94,6,68,Waupaca,2,Bay,3955,375588.5,2090.19,2222.42,2284,3955,5510590,Unified,174132.6585,395155912.6
218,New Richmond,2,1,179,11,55,Saint Croix,26,Middle Border,3962,581544,3241.39,3400.84,3441,3962,5510620,Unified,177674.4075,393883846
219,Niagara,no data,no data,20,8,38,Marinette,25,Marinette-Oconto,3969,69100,395.61,416.27,431,3969,5510680,Unified,67843.28576,184638246.3
375,Nicolet UHS,no data,no data,34,1,40,Milwaukee,30,North Shore,2177,188469,1021.98,1070.85,1087,2177,5505490,Secondary,43274.96261,42695977.99
220,Norris,no data,no data,no data,1,67,Waukesha,19,Indian Trails,3976,4948,27.11,27.64,31,3976,5510710,Unified,10389.24923,3215056.716
400,North Cape,no data,no data,4,2,51,Racine,41,Southern Lakes,4690,34680,188.95,197.05,198,4690,5512510,Elementary,58277.3522,52902021.4
221,North Crawford,no data,no data,3,3,12,Crawford,35,Ridge & Valley,2016,73854,409.93,434.44,456,2016,5504980,Unified,237977.6959,419786188.5
222,North Fond Du Lac,no data,no data,27,6,20,Fond du Lac,51,Wisconsin Flyway,3983,251804,1376.12,1447.15,1446,3983,5510740,Unified,58804.06101,73461987.16
401,North Lake,no data,no data,3,1,67,Waukesha,8,Classic Eight,3514,56704,317.37,329.67,335,3514,5509300,Elementary,38742.08006,32524487.86
402,North Lakeland,no data,no data,3,9,63,Vilas,124,Great Northern,616,26683,150.27,157.89,152,616,5501530,Elementary,133094.0611,691709511.8
223,Northern Ozaukee,no data,no data,no data,1,45,Ozaukee,300,Big East,1945,145890,839.15,868.39,1030,1945,5504890,Unified,86653.84126,161844450.3
224,Northland Pines,3,1,4,9,63,Vilas,124,Great Northern,1526,212216.5,1183.92,1248.33,1306,1526,5503860,Unified,197664.2109,1233170983
225,Northwood,no data,no data,14,12,65,Washburn,260,Lakeland - Central,3654,57377,316.64,333.59,325,3654,5509720,Unified,143242.0283,1083548454
226,Norwalk-Ontario-Wilton,no data,no data,14,4,41,Monroe,37,Scenic Bluffs,3990,108815,570.84,604.53,658,3990,5510770,Unified,146642.0592,382801423.5
403,Norway J7,no data,no data,no data,2,51,Racine,41,Southern Lakes,4011,18272,98.46,101.51,105,4011,5510800,Elementary,23323.73667,22490772.71
227,Oak Creek-Franklin Joint,no data,5,461,1,40,Milwaukee,40,Southeast,4018,1099898.5,6020.36,6357.79,6604,4018,5510830,Unified,51584.335,85773406.28
228,Oakfield,no data,no data,21,6,20,Fond du Lac,43,Trailways,4025,90974,484.22,502.62,548,4025,5510860,Unified,98698.55783,159995659.5
229,Oconomowoc Area,3,2,48,1,67,Waukesha,45,Wisconsin Little Ten,4060,892152.5,4947.51,5217.27,5272,4060,5510890,Unified,139794.496,312750825.5
230,Oconto Falls Public,no data,no data,14,8,42,Oconto,301,North Eastern,4074,288859,1615.87,1689.23,1691,4074,5510950,Unified,176040.6181,462276579.5
231,Oconto Unified,no data,1,69,8,42,Oconto,33,Packerland,4067,173584,976.52,1027.12,1006,4067,5510920,Unified,114684.3087,256310392.1
232,Omro,1,1,52,6,70,Winnebago,51,Wisconsin Flyway,4088,196281,1095.39,1147.84,1154,4088,5510980,Unified,155200.8947,252734844.5
233,Onalaska,no data,no data,105,4,32,La Crosse,28,Mississippi Valley,4095,518904.5,2824.82,2948.32,3133,4095,5511010,Unified,47748.0037,36757932.06
234,Oostburg,no data,no data,4,7,59,Sheboygan,300,Big East,4137,173839,952.64,987.72,995,4137,5511070,Unified,94280.51101,105774941.7
235,Oregon,3,2,243,2,13,Dane,115,Badger - South,4144,701938,3908.85,4034.13,4091,4144,5511100,Unified,136908.3685,229646315.5
236,Osceola,3,3,32,11,48,Polk,26,Middle Border,4165,273085,1549.78,1635.24,1692,4165,5511160,Unified,137556.9961,292607486.6
237,Oshkosh Area,4,3,1622,6,70,Winnebago,16,Fox Valley Association,4179,1701981.5,9097.76,9670.35,9911,4179,5511190,Unified,194504.6147,272921238.8
238,Osseo-Fairchild,no data,no data,101,10,61,Trempealeau,121,Cloverbelt - West,4186,137769,762.9,800.98,817,4186,5511220,Unified,248622.1459,746397874.7
239,Owen-Withee,no data,no data,14,10,10,Clark,120,Cloverbelt - East,4207,82180,478.35,480.58,485,4207,5511310,Unified,148442.9198,408953684.8
240,Palmyra-Eagle Area,no data,no data,21,2,28,Jefferson,43,Trailways,4221,130690,738.48,777.92,769,4221,5511350,Unified,101128.9356,208495732.4
241,Pardeeville Area,1,no data,14,5,11,Columbia,43,Trailways,4228,130924.5,749.28,779.31,812,4228,5511370,Unified,123566.9858,239291927.9
404,Paris J1,no data,no data,no data,2,30,Kenosha,41,Southern Lakes,4235,54257,313.51,313.62,277,4235,5511400,Elementary,42923.52904,95636243.76
242,Parkview,no data,no data,19,2,53,Rock,43,Trailways,4151,138250,768.22,813.24,803,4151,5511130,Unified,141259.8277,322702579.8
243,Pecatonica Area,no data,no data,6,3,33,Lafayette,38,Six Rivers,490,65897,354.87,378.72,400,490,5501310,Unified,142545.7409,297393726.2
244,Pepin Area,no data,no data,1,11,46,Pepin,123,Dunn-St. Croix - Small,4270,36442,213.26,222.21,225,4270,5511580,Unified,83446.46297,210174611.2
245,Peshtigo,no data,no data,58,8,38,Marinette,25,Marinette-Oconto,4305,196676,1124.4,1177.7,1188,4305,5511610,Unified,96545.09324,228508465.6
246,Pewaukee,1,no data,76,1,67,Waukesha,47,Woodland,4312,515875,2872.58,2999.27,2995,4312,5511640,Unified,36450.37081,40970535.03
247,Phelps,no data,no data,9,9,63,Vilas,31,Northern Lakes,4330,22101,124.31,132.34,132,4330,5511710,Unified,80901.78005,280452549.9
248,Phillips,no data,no data,14,12,50,Price,125,Marawood - North,4347,138477,754.87,791.3,759,4347,5511730,Unified,215623.1531,1518593852
249,Pittsville,no data,no data,9,5,71,Wood,126,Marawood - South,4368,95720,518.12,537.75,575,4368,5511790,Unified,178629.7448,950841334.8
250,Platteville,no data,1,87,3,22,Grant,42,Southwest Wisconsin,4389,248859,1341.23,1405.98,1519,4389,5511850,Unified,167633.0898,379349880.3
251,Plum City,no data,no data,3,11,47,Pierce,123,Dunn-St. Croix - Small,4459,45805,272.49,281.01,276,4459,5511880,Unified,115521.2101,214581146.3
252,Plymouth Joint,no data,4,173,7,59,Sheboygan,52,East Central,4473,366278,2076.07,2180.23,2179,4473,5511940,Unified,179289.1185,325436471.9
253,Port Edwards,no data,no data,9,5,71,Wood,155,Central Wisconsin - 10,4508,74981,417.14,433.42,448,4508,5511970,Unified,74898.60524,157835554.1
254,Port Washington-Saukville,no data,no data,143,1,45,Ozaukee,30,North Shore,4515,447068,2392.09,2497.59,2616,4515,5512000,Unified,68157.56192,80603948.77
255,Portage Community,no data,no data,188,5,11,Columbia,114,Badger - North,4501,376738.5,1986.88,2104.68,2316,4501,5512060,Unified,183436.4916,546289059.3
256,Potosi,no data,no data,5,3,22,Grant,38,Six Rivers,4529,58901,339,354.83,333,4529,5512090,Unified,167770.5131,168258663.3
257,Poynette,no data,2,31,5,11,Columbia,116,Capitol - North,4536,175833,985.22,1028.26,1075,4536,5512120,Unified,108108.9855,258118387.7
258,Prairie Du Chien Area,no data,no data,21,3,12,Crawford,42,Southwest Wisconsin,4543,202743,1135.14,1171.92,1163,4543,5512150,Unified,129964.869,235526955.6
259,Prairie Farm Public,no data,no data,5,11,3,Barron,260,Lakeland - Central,4557,61741,352.68,365.33,386,4557,5512180,Unified,147421.3533,229566182.5
260,Prentice,no data,no data,5,9,50,Price,125,Marawood - North,4571,63952,340.45,359.28,340,4571,5512210,Unified,187490.1017,1083995084
261,Prescott,no data,no data,37,11,47,Pierce,26,Middle Border,4578,214415,1201.2,1261.26,1320,4578,5512240,Unified,84761.85077,189097670.9
262,Princeton,no data,2,27,5,24,Green Lake,43,Trailways,4606,58746,319.14,337.62,336,4606,5512300,Unified,116158.6859,234654410.5
263,Pulaski Community,no data,2,78,7,5,Brown,54,Fox River Classic,4613,523539,2951.03,3097.86,3777,4613,5512330,Unified,206816.4195,476443172.8
264,Racine Unified,no data,136,6020,1,51,Racine,40,Southeast,4620,3145584.5,15826.4,17974.77,17862,4620,5512360,Unified,65650.56571,261538918.8
405,Randall J1,no data,no data,23,2,30,Kenosha,41,Southern Lakes,4627,130553,713.68,754.64,732,4627,5512390,Elementary,54499.78935,45075131.62
265,Randolph,no data,no data,9,5,14,Dodge,43,Trailways,4634,93662,521,550.95,553,4634,5512420,Unified,136518.8674,155752288.7
266,Random Lake,no data,no data,17,7,59,Sheboygan,300,Big East,4641,120766.5,692.77,718.85,741,4641,5512450,Unified,113954.749,236808640.7
406,Raymond #14,no data,no data,no data,2,51,Racine,41,Southern Lakes,4686,74085,417.46,420.94,412,4686,5512480,Elementary,41039.88882,80188862.24
267,Reedsburg,no data,no data,59,5,56,Sauk,114,Badger - North,4753,484237,2670.6,2865.31,2862,4753,5512660,Unified,234436.7248,624294976.4
268,Reedsville,no data,no data,5,7,36,Manitowoc,300,Big East,4760,101933,535.13,553.98,577,4760,5512690,Unified,121059.4028,288857450.1
269,Rhinelander,no data,no data,200,9,43,Oneida,124,Great Northern,4781,388625,2098.65,2195.62,2350,4781,5512720,Unified,231796.7842,995719304
270,Rib Lake,no data,no data,2,9,60,Taylor,125,Marawood - North,4795,77992,435.47,453.44,473,4795,5512780,Unified,153429.1255,731840005.4
271,Rice Lake Area,no data,no data,88,11,3,Barron,4,Big Rivers,4802,377035.5,1976.78,2094.64,2276,4802,5512810,Unified,170348.6949,611453066.2
272,Richland,no data,14,93,3,52,Richland,42,Southwest Wisconsin,4851,223977,1295.17,1365.71,1299,4851,5512960,Unified,308525.2615,676686350
407,Richmond,no data,no data,4,1,67,Waukesha,8,Classic Eight,3122,70650,400.16,413.16,412,3122,5508130,Elementary,20035.65066,16796417.67
273,Rio Community,no data,no data,2,5,11,Columbia,43,Trailways,4865,66100,366.59,388.82,407,4865,5512990,Unified,111594.6451,195437864.6
274,Ripon Area,no data,no data,24,6,20,Fond du Lac,52,East Central,4872,266650,1461.64,1532.47,1600,4872,5513020,Unified,170862.7824,290957849.9
275,River Falls,1,6,121,11,47,Pierce,4,Big Rivers,4893,575958,3220.95,3368.18,3455,4893,5513050,Unified,138928.348,370438825.1
276,River Ridge,no data,2,10,3,22,Grant,38,Six Rivers,4904,91428,515.43,540.99,542,4904,5500017,Unified,235937.0273,543423010.2
277,River Valley,no data,no data,11,3,56,Sauk,42,Southwest Wisconsin,5523,202858,1074.45,1146.09,1194,5523,5514250,Unified,309242.3414,773600263.3
278,Riverdale,no data,no data,45,3,21/22,Forest/Grant,131,Southwest Wisconsin Activities League,3850,115909,636.53,677.83,695,3850,5510140,Unified,236250.8811,514536801.6
279,Rosendale-Brandon,no data,no data,20,6,20,Fond du Lac,51,Wisconsin Flyway,4956,180511,965.27,1008.44,1047,4956,5513100,Unified,173631.4589,334377152.1
280,Rosholt,no data,no data,20,5,49,Portage,155,Central Wisconsin - 10,4963,83588,472.46,494.6,530,4963,5513140,Unified,138672.6727,400568319.1
281,Royall,no data,no data,1,4,29,Juneau,37,Scenic Bluffs,1673,83257,467.09,484.05,508,1673,5504380,Unified,163567.5567,307618351.6
282,Saint Croix Central,no data,no data,15,11,55,Saint Croix,26,Middle Border,2422,286237,1661.73,1734.77,1726,2422,5506060,Unified,120048.2167,220752526.2
283,Saint Croix Falls,no data,1,43,11,48,Polk,262,Lakeland - West,5019,176177,996.4,1048.67,1084,5019,5513230,Unified,195661.6597,387192595.3
284,Saint Francis,no data,no data,152,1,40,Milwaukee,280,Midwest Classic,5026,197269,1038.34,1114.51,1123,5026,5513260,Unified,14524.89456,6641540.002
408,Salem,no data,no data,15,2,30,Kenosha,41,Southern Lakes,5068,155400,863.17,903.49,969,5068,5513350,Elementary,36931.72097,46557615.83
285,Sauk Prairie,no data,no data,39,5,56,Sauk,114,Badger - North,5100,478995,2672.34,2817.62,2785,5100,5513410,Unified,228321.9645,610461235.2
286,Seneca Area,no data,1,no data,3,12,Crawford,35,Ridge & Valley,5124,49276,262.56,275.28,290,5124,5513470,Unified,279083.3272,311906212.6
287,Sevastopol,no data,no data,18,7,15,Door,33,Packerland,5130,104938,566.15,599.65,613,5130,5513500,Unified,93686.91773,303848196.9
288,Seymour Community,1,no data,125,7,44,Outagamie,2,Bay,5138,374487,1998.24,2103.86,2218,5138,5513530,Unified,134288.163,432253246.5
409,Sharon J11,no data,no data,no data,2,64,Walworth,36,Rock Valley,5258,45353,249.01,262.16,262,5258,5513560,Elementary,42155.28183,50400486.35
289,Shawano,no data,no data,86,8,58,Shawano,2,Bay,5264,430734,2423.68,2563.89,2460,5264,5513620,Unified,171945.7462,433152488.4
290,Sheboygan Area,no data,no data,17,7,59,Sheboygan,54,Fox River Classic,5271,1747381,9337.9,9985.03,10060,5271,5513650,Unified,182226.5714,132349045.6
291,Sheboygan Falls,no data,no data,43,7,59,Sheboygan,14,Eastern Wisconsin,5278,295349,1615.3,1687.71,1688,5278,5513680,Unified,101035.555,143681689.8
292,Shell Lake,no data,no data,18,11,65,Washburn,260,Lakeland - Central,5306,120298,647.16,675.83,685,5306,5513710,Unified,130672.9512,404151213.7
293,Shiocton,no data,no data,11,6,44,Outagamie,156,Central Wisconsin - 8,5348,121702,668.63,699.44,699,5348,5513770,Unified,114288.839,282703172.4
294,Shorewood,no data,no data,17,1,40,Milwaukee,47,Woodland,5355,350549,1912.53,2026.29,2036,5355,5513800,Unified,9116.819614,4224891.485
295,Shullsburg,no data,no data,7,3,33,Lafayette,38,Six Rivers,5362,63004,355.17,375.02,370,5362,5513830,Unified,170145.0555,247771839.7
410,Silver Lake J1,no data,no data,18,2,30,Kenosha,41,Southern Lakes,5369,82796,460.65,478.59,475,5369,5513860,Elementary,19630.92757,13581678.08
296,Siren,1,no data,24,11,7,Burnett,262,Lakeland - West,5376,77594.5,424.28,459.14,469,5376,5513890,Unified,95322.9739,285946257.5
297,Slinger,1,no data,56,6,66,Washington,45,Wisconsin Little Ten,5390,583410,3231.91,3352.93,3368,5390,5513950,Unified,87251.18272,203764165.8
298,Solon Springs,no data,no data,1,12,16,Douglas,20,Indianhead,5397,47340,258.7,272.07,273,5397,5513980,Unified,99402.98073,411814850
299,Somerset,no data,no data,48,11,55,Saint Croix,26,Middle Border,5432,247178,1391.55,1445.49,1499,5432,5514010,Unified,158246.1611,153969565.5
300,South Milwaukee,no data,1,276,1,40,Milwaukee,47,Woodland,5439,520203.5,2799.77,3006.96,3062,5439,5514040,Unified,15666.15149,12476077.47
301,South Shore,no data,no data,4,12,4,Bayfield,20,Indianhead,4522,27612,157.68,167.35,177,4522,5512030,Unified,154934.319,753267301.8
302,Southern Door County,no data,2,28,7,15,Door,33,Packerland,5457,168894.5,911.18,954.21,1009,5457,5514130,Unified,144717.6445,509170829.5
303,Southwestern Wisconsin,no data,no data,5,3,22,Grant,131,Southwest Wisconsin Activities League,2485,83099,464.37,483.13,521,2485,5506300,Unified,105611.5291,147433444.5
304,Sparta Area,no data,no data,139,4,41,Monroe,28,Mississippi Valley,5460,498824.5,2831.59,2969.19,2981,5460,5514160,Unified,211093.2393,749674664.3
305,Spencer,no data,no data,23,10,37,Marathon,120,Cloverbelt - East,5467,114923,619.78,645.63,686,5467,5514190,Unified,78052.77014,207710315
306,Spooner Area,no data,no data,67,11,65,Washburn,18,Heart O'North,5474,192524,1081.08,1132.49,1158,5474,5514220,Unified,249944.0582,1354796006
307,Spring Valley,no data,no data,14,11,47,Pierce,123,Dunn-St. Croix - Small,5586,129110,730.65,763.96,768,5586,5514340,Unified,177562.3553,283028783.6
308,Stanley-Boyd Area,no data,1,10,10,9,Chippewa,121,Cloverbelt - West,5593,207743,1142.4,1180.36,1099,5593,5514430,Unified,154227.8289,483843652.4
309,Stevens Point Area Public,no data,no data,93,5,49,Portage,46,Wisconsin Valley,5607,1187469,6499.14,6903.89,7144,5607,5514490,Unified,212894.6377,995828498.8
310,Stockbridge,no data,no data,1,7,8,Calumet,29,No WI Affiliation,5614,34718,191.01,199.53,201,5614,5514520,Unified,101085.6594,70688438.08
411,Stone Bank,no data,no data,no data,1,67,Waukesha,8,Classic Eight,3542,60420,337.44,351.28,353,3542,5509390,Elementary,35518.04949,28949674.83
