OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
40,Bowler,no data,no data,11,8,58,Shawano,155,Central Wisconsin - 10,623,56502,294.6,315.65,331,623,5501560,Unified,89284.33427,324766354.7
41,Boyceville Community,no data,no data,3,11,17,Dunn,122,Dunn-St. Croix - Large,637,114648,620.9,651.41,712,637,5501590,Unified,244016.6995,419325615.3
379,Brighton #1,no data,no data,16,2,30,Kenosha,41,Southern Lakes,657,36131,206.55,213.79,226,657,5501650,Elementary,42882.82858,87303104.29
42,Brillion,no data,no data,5,7,8,Calumet,14,Eastern Wisconsin,658,169290,935.53,972.93,978,658,5501680,Unified,131737.0053,164517756.7
380,Bristol #1,no data,no data,1,2,30,Kenosha,41,Southern Lakes,665,146509,781.82,818.49,851,665,5501710,Elementary,39905.87569,84553930.44
43,Brodhead,no data,no data,23,2,23,Green,36,Rock Valley,700,166767,950.67,986.79,1018,700,5501740,Unified,154080.3797,257084048.1
44,Brown Deer,no data,no data,240,1,40,Milwaukee,47,Woodland,721,257132,1440.67,1558.38,1521,721,5501800,Unified,17600.97436,11531019.11
45,Bruce,no data,no data,19,10,54,Rusk,261,Lakeland - East,735,74110,409.63,433.39,441,735,5501830,Unified,192332.2476,700501655.5
46,Burlington Area,1,no data,80,2,51,Racine,41,Southern Lakes,777,529526,2901.43,3096.64,3145,777,5501890,Unified,104184.3086,257941884.9
47,Butternut,no data,no data,6,12,2,Ashland,20,Indianhead,840,33439,189.52,201.44,206,840,5501920,Unified,144166.5906,604352536.5
48,Cadott Community,no data,2,110,10,9,Chippewa,121,Cloverbelt - West,870,135515,773.12,816.36,830,870,5502040,Unified,143711.9579,394306855.2
49,Cambria-Friesland,no data,no data,13,5,11,Columbia,43,Trailways,882,58636,329.37,342.9,371,882,5502070,Unified,150076.7633,216614550
50,Cambridge,no data,no data,13,2,13,Dane,117,Capitol - South,896,158281.5,870.37,914.92,908,896,5502100,Unified,120603.3861,167523548.8
51,Cameron,no data,no data,8,11,3,Barron,260,Lakeland - Central,903,196250,1099.41,1147.66,1149,903,5502130,Unified,113140.1871,181190684.3
