SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,BEHAVIOR_TYPE,TFS_ENROLLMENT_COUNT,INCIDENTS_COUNT
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Drugs and Alcohol,365,2
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Endangering Behavior,365,4
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Other Violation of School Rules,365,8
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Weapon Related,365,1
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Assault,3508,43
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Drugs and Alcohol,3508,8
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Endangering Behavior,3508,5
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Other Violation of School Rules,3508,221
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Weapon Related,3508,5
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,Assault,233,3
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,Drugs and Alcohol,233,3
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,Endangering Behavior,233,8
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,Other Violation of School Rules,233,29
2018-19,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],All Students,All Students,Drugs and Alcohol,887,5
2018-19,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],All Students,All Students,Other Violation of School Rules,887,4
2018-19,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],All Students,All Students,Weapon Related,887,2
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,Drugs and Alcohol,384,4
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,Other Violation of School Rules,384,1
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Assault,6474,81
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Drugs and Alcohol,6474,67
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Endangering Behavior,6474,652
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Other Violation of School Rules,6474,1339
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Weapon Related,6474,22
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,Drugs and Alcohol,1566,24
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,Endangering Behavior,1566,6
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,Other Violation of School Rules,1566,30
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,Weapon Related,1566,5
2018-19,School District,3,Lafayette,427,,[All],No,Benton,[Districtwide],All Students,All Students,Other Violation of School Rules,200,3
2018-19,School District,6,Green Lake,434,,[All],No,Berlin Area,[Districtwide],All Students,All Students,Drugs and Alcohol,1644,2
