SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT,PERCENT_OF_GROUP
2018-19,School District,10,Trempealeau,1600,,[All],No,Eleva-Strum,[Districtwide],All Students,All Students,632,100
2018-19,School District,11,Dunn,1645,,[All],No,Elk Mound Area,[Districtwide],All Students,All Students,1202,100
2018-19,School District,7,Sheboygan,1631,,[All],No,Elkhart Lake-Glenbeulah,[Districtwide],All Students,All Students,439,100
2018-19,School District,2,Walworth,1638,,[All],No,Elkhorn Area,[Districtwide],All Students,All Students,3469,100
2018-19,School District,11,Pierce,1659,,[All],No,Ellsworth Community,[Districtwide],All Students,All Students,1662,100
2018-19,School District,1,Waukesha,714,,[All],No,Elmbrook,[Districtwide],All Students,All Students,7334,100
2018-19,School District,11,Pierce,1666,,[All],No,Elmwood,[Districtwide],All Students,All Students,312,100
2018-19,School District,6,Washington,1687,,[All],No,Erin,[Districtwide],All Students,All Students,421,100
2018-19,School District,2,Rock,1694,,[All],No,Evansville Community,[Districtwide],All Students,All Students,1800,100
2018-19,School District,10,Eau Claire,1729,,[All],No,Fall Creek,[Districtwide],All Students,All Students,852,100
2018-19,School District,5,Columbia,1736,,[All],No,Fall River,[Districtwide],All Students,All Students,453,100
2018-19,School District,3,Grant,1813,,[All],No,Fennimore Community,[Districtwide],All Students,All Students,798,100
2018-19,School District,10,Rusk,5757,,[All],No,Flambeau,[Districtwide],All Students,All Students,578,100
2018-19,School District,8,Florence,1855,,[All],No,Florence County,[Districtwide],All Students,All Students,389,100
2018-19,School District,6,Fond du Lac,1862,,[All],No,Fond du Lac,[Districtwide],All Students,All Students,7100,100
2018-19,School District,2,Walworth,1870,,[All],No,Fontana J8,[Districtwide],All Students,All Students,214,100
2018-19,School District,2,Jefferson,1883,,[All],No,Fort Atkinson,[Districtwide],All Students,All Students,2843,100
2018-19,School District,1,Milwaukee,1890,,[All],No,Fox Point J2,[Districtwide],All Students,All Students,793,100
2018-19,School District,1,Milwaukee,1900,,[All],No,Franklin Public,[Districtwide],All Students,All Students,4599,100
2018-19,School District,11,Polk,1939,,[All],No,Frederic,[Districtwide],All Students,All Students,438,100
2018-19,School District,6,Outagamie,1953,,[All],No,Freedom Area,[Districtwide],All Students,All Students,1607,100
2018-19,School District,4,Trempealeau,2009,,[All],No,Galesville-Ettrick-Trempealeau,[Districtwide],All Students,All Students,1397,100
2018-19,School District,2,Walworth,2044,,[All],No,Geneva J4,[Districtwide],All Students,All Students,201,100
2018-19,School District,2,Walworth,2051,,[All],No,Genoa City J2,[Districtwide],All Students,All Students,526,100
2018-19,School District,1,Washington,2058,,[All],No,Germantown,[Districtwide],All Students,All Students,3896,100
2018-19,School District,7,Door,2114,,[All],No,Gibraltar Area,[Districtwide],All Students,All Students,531,100
2018-19,School District,8,Oconto,2128,,[All],No,Gillett,[Districtwide],All Students,All Students,514,100
2018-19,School District,10,Taylor,2135,,[All],No,Gilman,[Districtwide],All Students,All Students,326,100
2018-19,School District,10,Buffalo,2142,,[All],No,Gilmanton,[Districtwide],All Students,All Students,150,100
2018-19,School District,1,Milwaukee,2184,,[All],No,Glendale-River Hills,[Districtwide],All Students,All Students,1065,100
2018-19,School District,11,Saint Croix,2198,,[All],No,Glenwood City,[Districtwide],All Students,All Students,687,100
2018-19,School District,8,Marinette,2212,,[All],No,Goodman-Armstrong Creek,[Districtwide],All Students,All Students,115,100
2018-19,School District,1,Ozaukee,2217,,[All],No,Grafton,[Districtwide],All Students,All Students,2071,100
2018-19,School District,10,Clark,2226,,[All],No,Granton Area,[Districtwide],All Students,All Students,233,100
2018-19,School District,11,Burnett,2233,,[All],No,Grantsburg,[Districtwide],All Students,All Students,1463,100
2018-19,School District,7,Brown,2289,,[All],No,Green Bay Area Public,[Districtwide],All Students,All Students,20391,100
2018-19,School District,6,Green Lake,2310,,[All],No,Green Lake,[Districtwide],All Students,All Students,303,100
2018-19,School District,1,Milwaukee,2296,,[All],No,Greendale,[Districtwide],All Students,All Students,2698,100
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,3527,100
2018-19,School District,10,Clark,2394,,[All],No,Greenwood,[Districtwide],All Students,All Students,358,100
2018-19,School District,8,Shawano,2415,,[All],No,Gresham,[Districtwide],All Students,All Students,292,100
2018-19,School District,1,Waukesha,2420,,[All],No,Hamilton,[Districtwide],All Students,All Students,4859,100
2018-19,School District,6,Washington,2443,,[All],No,Hartford J1,[Districtwide],All Students,All Students,1706,100
2018-19,School District,6,Washington,2436,,[All],No,Hartford UHS,[Districtwide],All Students,All Students,1344,100
2018-19,School District,1,Waukesha,2460,,[All],No,Hartland-Lakeside J3,[Districtwide],All Students,All Students,1187,100
2018-19,School District,12,Sawyer,2478,,[All],No,Hayward Community,[Districtwide],All Students,All Students,2063,100
2018-19,School District,6,Dodge,2525,,[All],No,Herman-Neosho-Rubicon,[Districtwide],All Students,All Students,318,100
2018-19,School District,3,Iowa,2527,,[All],No,Highland,[Districtwide],All Students,All Students,297,100
2018-19,School District,7,Calumet,2534,,[All],No,Hilbert,[Districtwide],All Students,All Students,457,100
2018-19,School District,4,Vernon,2541,,[All],No,Hillsboro,[Districtwide],All Students,All Students,540,100
2018-19,School District,4,La Crosse,2562,,[All],No,Holmen,[Districtwide],All Students,All Students,3994,100
2018-19,School District,6,Washington,2570,,[All],No,Holy Hill Area,[Districtwide],All Students,All Students,545,100
2018-19,School District,6,Dodge,2576,,[All],No,Horicon,[Districtwide],All Students,All Students,681,100
2018-19,School District,6,Outagamie,2583,,[All],No,Hortonville Area,[Districtwide],All Students,All Students,4011,100
2018-19,School District,7,Brown,2604,,[All],No,Howard-Suamico,[Districtwide],All Students,All Students,6103,100
2018-19,School District,7,Sheboygan,2605,,[All],No,Howards Grove,[Districtwide],All Students,All Students,907,100
2018-19,School District,11,Saint Croix,2611,,[All],No,Hudson,[Districtwide],All Students,All Students,5614,100
2018-19,School District,12,Iron,2618,,[All],No,Hurley,[Districtwide],All Students,All Students,563,100
2018-19,School District,6,Dodge,2625,,[All],No,Hustisford,[Districtwide],All Students,All Students,438,100
2018-19,School District,4,Trempealeau,2632,,[All],No,Independence,[Districtwide],All Students,All Students,382,100
2018-19,School District,5,Waupaca,2639,,[All],No,Iola-Scandinavia,[Districtwide],All Students,All Students,665,100
2018-19,School District,3,Iowa,2646,,[All],No,Iowa-Grant,[Districtwide],All Students,All Students,732,100
2018-19,School District,3,Richland,2660,,[All],No,Ithaca,[Districtwide],All Students,All Students,446,100
2018-19,School District,2,Rock,2695,,[All],No,Janesville,[Districtwide],All Students,All Students,10069,100
2018-19,School District,2,Jefferson,2702,,[All],No,Jefferson,[Districtwide],All Students,All Students,1874,100
2018-19,School District,2,Jefferson,2730,,[All],No,Johnson Creek,[Districtwide],All Students,All Students,655,100
2018-19,School District,2,Green,2737,,[All],No,Juda,[Districtwide],All Students,All Students,305,100
2018-19,School District,6,Outagamie,2758,,[All],No,Kaukauna Area,[Districtwide],All Students,All Students,3935,100
2018-19,School District,1,Kenosha,2793,,[All],No,Kenosha,[Districtwide],All Students,All Students,21233,100
2018-19,School District,1,Waukesha,1376,,[All],No,Kettle Moraine,[Districtwide],All Students,All Students,3868,100
2018-19,School District,6,Washington,2800,,[All],No,Kewaskum,[Districtwide],All Students,All Students,1814,100
2018-19,School District,7,Kewaunee,2814,,[All],No,Kewaunee,[Districtwide],All Students,All Students,953,100
2018-19,School District,3,Vernon,5960,,[All],No,Kickapoo Area,[Districtwide],All Students,All Students,520,100
2018-19,School District,7,Manitowoc,2828,,[All],No,Kiel Area,[Districtwide],All Students,All Students,1216,100
2018-19,School District,6,Outagamie,2835,,[All],No,Kimberly Area,[Districtwide],All Students,All Students,5190,100
2018-19,School District,7,Sheboygan,2842,,[All],No,Kohler,[Districtwide],All Students,All Students,703,100
2018-19,School District,4,La Crosse,2849,,[All],No,La Crosse,[Districtwide],All Students,All Students,6637,100
2018-19,School District,4,Vernon,2863,,[All],No,La Farge,[Districtwide],All Students,All Students,218,100
2018-19,School District,9,Vilas,1848,,[All],No,Lac du Flambeau #1,[Districtwide],All Students,All Students,510,100
2018-19,School District,10,Rusk,2856,,[All],No,Ladysmith,[Districtwide],All Students,All Students,806,100
2018-19,School District,1,Waukesha,3862,,[All],No,Lake Country,[Districtwide],All Students,All Students,499,100
2018-19,School District,2,Walworth,2885,,[All],No,Lake Geneva J1,[Districtwide],All Students,All Students,1918,100
2018-19,School District,2,Walworth,2884,,[All],No,Lake Geneva-Genoa City UHS,[Districtwide],All Students,All Students,1432,100
2018-19,School District,10,Chippewa,2891,,[All],No,Lake Holcombe,[Districtwide],All Students,All Students,316,100
2018-19,School District,2,Jefferson,2898,,[All],No,Lake Mills Area,[Districtwide],All Students,All Students,1588,100
2018-19,School District,9,Oneida,3647,,[All],No,Lakeland UHS,[Districtwide],All Students,All Students,709,100
2018-19,School District,3,Grant,2912,,[All],No,Lancaster Community,[Districtwide],All Students,All Students,963,100
2018-19,School District,8,Forest,2940,,[All],No,Laona,[Districtwide],All Students,All Students,261,100
2018-19,School District,8,Oconto,2961,,[All],No,Lena,[Districtwide],All Students,All Students,388,100
2018-19,School District,2,Walworth,3087,,[All],No,Linn J4,[Districtwide],All Students,All Students,119,100
2018-19,School District,2,Walworth,3094,,[All],No,Linn J6,[Districtwide],All Students,All Students,148,100
2018-19,School District,6,Outagamie,3129,,[All],No,Little Chute Area,[Districtwide],All Students,All Students,1602,100
2018-19,School District,5,Columbia,3150,,[All],No,Lodi,[Districtwide],All Students,All Students,1493,100
2018-19,School District,6,Dodge,3171,,[All],No,Lomira,[Districtwide],All Students,All Students,1080,100
2018-19,School District,10,Clark,3206,,[All],No,Loyal,[Districtwide],All Students,All Students,502,100
2018-19,School District,11,Polk,3213,,[All],No,Luck,[Districtwide],All Students,All Students,438,100
2018-19,School District,7,Kewaunee,3220,,[All],No,Luxemburg-Casco,[Districtwide],All Students,All Students,1910,100
2018-19,School District,2,Dane,3269,,[All],No,Madison Metropolitan,[Districtwide],All Students,All Students,26917,100
2018-19,School District,6,Waupaca,3276,,[All],No,Manawa,[Districtwide],All Students,All Students,637,100
2018-19,School District,7,Manitowoc,3290,,[All],No,Manitowoc,[Districtwide],All Students,All Students,4961,100
2018-19,School District,12,Douglas,3297,,[All],No,Maple,[Districtwide],All Students,All Students,1341,100
2018-19,School District,1,Milwaukee,1897,,[All],No,Maple Dale-Indian Hill,[Districtwide],All Students,All Students,471,100
2018-19,School District,9,Marathon,3304,,[All],No,Marathon City,[Districtwide],All Students,All Students,731,100
2018-19,School District,8,Marinette,3311,,[All],No,Marinette,[Districtwide],All Students,All Students,2033,100
2018-19,School District,8,Waupaca,3318,,[All],No,Marion,[Districtwide],All Students,All Students,438,100
2018-19,School District,6,Green Lake,3325,,[All],No,Markesan,[Districtwide],All Students,All Students,814,100
2018-19,School District,2,Dane,3332,,[All],No,Marshall,[Districtwide],All Students,All Students,1030,100
2018-19,School District,5,Wood,3339,,[All],No,Marshfield Unified,[Districtwide],All Students,All Students,4068,100
2018-19,School District,5,Juneau,3360,,[All],No,Mauston,[Districtwide],All Students,All Students,1462,100
2018-19,School District,6,Dodge,3367,,[All],No,Mayville,[Districtwide],All Students,All Students,1100,100
2018-19,School District,2,Dane,3381,,[All],No,McFarland,[Districtwide],All Students,All Students,4447,100
2018-19,School District,10,Taylor,3409,,[All],No,Medford Area Public,[Districtwide],All Students,All Students,2755,100
2018-19,School District,12,Ashland,3427,,[All],No,Mellen,[Districtwide],All Students,All Students,271,100
2018-19,School District,4,Jackson,3428,,[All],No,Melrose-Mindoro,[Districtwide],All Students,All Students,768,100
2018-19,School District,6,Winnebago,3430,,[All],No,Menasha Joint,[Districtwide],All Students,All Students,3432,100
2018-19,School District,8,Menominee,3434,,[All],No,Menominee Indian,[Districtwide],All Students,All Students,921,100
2018-19,School District,1,Waukesha,3437,,[All],No,Menomonee Falls,[Districtwide],All Students,All Students,4002,100
2018-19,School District,11,Dunn,3444,,[All],No,Menomonie Area,[Districtwide],All Students,All Students,3426,100
2018-19,School District,1,Ozaukee,3479,,[All],No,Mequon-Thiensville,[Districtwide],All Students,All Students,3771,100
2018-19,School District,12,Iron,3484,,[All],No,Mercer,[Districtwide],All Students,All Students,145,100
2018-19,School District,9,Lincoln,3500,,[All],No,Merrill Area,[Districtwide],All Students,All Students,3291,100
2018-19,School District,1,Waukesha,3528,,[All],No,Merton Community,[Districtwide],All Students,All Students,844,100
2018-19,School District,2,Dane,3549,,[All],No,Middleton-Cross Plains Area,[Districtwide],All Students,All Students,7450,100
2018-19,School District,2,Rock,3612,,[All],No,Milton,[Districtwide],All Students,All Students,3487,100
2018-19,School District,1,Milwaukee,3619,,[All],No,Milwaukee,[Districtwide],All Students,All Students,75431,100
2018-19,School District,3,Iowa,3633,,[All],No,Mineral Point Unified,[Districtwide],All Students,All Students,763,100
2018-19,School District,9,Oneida,3640,,[All],No,Minocqua J1,[Districtwide],All Students,All Students,613,100
2018-19,School District,7,Manitowoc,3661,,[All],No,Mishicot,[Districtwide],All Students,All Students,859,100
2018-19,School District,10,Buffalo,3668,,[All],No,Mondovi,[Districtwide],All Students,All Students,991,100
2018-19,School District,2,Dane,3675,,[All],No,Monona Grove,[Districtwide],All Students,All Students,3454,100
2018-19,School District,2,Green,3682,,[All],No,Monroe,[Districtwide],All Students,All Students,2353,100
2018-19,School District,5,Marquette,3689,,[All],No,Montello,[Districtwide],All Students,All Students,668,100
2018-19,School District,2,Green,3696,,[All],No,Monticello,[Districtwide],All Students,All Students,341,100
2018-19,School District,9,Marathon,3787,,[All],No,Mosinee,[Districtwide],All Students,All Students,2016,100
2018-19,School District,2,Dane,3794,,[All],No,Mount Horeb Area,[Districtwide],All Students,All Students,2522,100
2018-19,School District,1,Waukesha,3822,,[All],No,Mukwonago,[Districtwide],All Students,All Students,5040,100
2018-19,School District,1,Waukesha,3857,,[All],No,Muskego-Norway,[Districtwide],All Students,All Students,4850,100
2018-19,School District,5,Juneau,3871,,[All],No,Necedah Area,[Districtwide],All Students,All Students,699,100
2018-19,School District,6,Winnebago,3892,,[All],No,Neenah Joint,[Districtwide],All Students,All Students,6714,100
2018-19,School District,10,Clark,3899,,[All],No,Neillsville,[Districtwide],All Students,All Students,927,100
2018-19,School District,5,Wood,3906,,[All],No,Nekoosa,[Districtwide],All Students,All Students,1183,100
2018-19,School District,10,Chippewa,3920,,[All],No,New Auburn,[Districtwide],All Students,All Students,316,100
2018-19,School District,1,Waukesha,3925,,[All],No,New Berlin,[Districtwide],All Students,All Students,4348,100
2018-19,School District,2,Green,3934,,[All],No,New Glarus,[Districtwide],All Students,All Students,989,100
2018-19,School District,7,Calumet,3941,,[All],No,New Holstein,[Districtwide],All Students,All Students,1063,100
2018-19,School District,5,Juneau,3948,,[All],No,New Lisbon,[Districtwide],All Students,All Students,660,100
2018-19,School District,6,Waupaca,3955,,[All],No,New London,[Districtwide],All Students,All Students,2284,100
2018-19,School District,11,Saint Croix,3962,,[All],No,New Richmond,[Districtwide],All Students,All Students,3441,100
2018-19,School District,8,Marinette,3969,,[All],No,Niagara,[Districtwide],All Students,All Students,431,100
2018-19,School District,1,Milwaukee,2177,,[All],No,Nicolet UHS,[Districtwide],All Students,All Students,1087,100
2018-19,School District,1,Waukesha,3976,,[All],No,Norris,[Districtwide],All Students,All Students,31,100
2018-19,School District,2,Racine,4690,,[All],No,North Cape,[Districtwide],All Students,All Students,198,100
2018-19,School District,3,Crawford,2016,,[All],No,North Crawford,[Districtwide],All Students,All Students,456,100
2018-19,School District,6,Fond du Lac,3983,,[All],No,North Fond du Lac,[Districtwide],All Students,All Students,1446,100
2018-19,School District,1,Waukesha,3514,,[All],No,North Lake,[Districtwide],All Students,All Students,335,100
2018-19,School District,9,Vilas,616,,[All],No,North Lakeland,[Districtwide],All Students,All Students,152,100
2018-19,School District,1,Ozaukee,1945,,[All],No,Northern Ozaukee,[Districtwide],All Students,All Students,1030,100
2018-19,School District,9,Vilas,1526,,[All],No,Northland Pines,[Districtwide],All Students,All Students,1306,100
2018-19,School District,12,Washburn,3654,,[All],No,Northwood,[Districtwide],All Students,All Students,325,100
2018-19,School District,4,Monroe,3990,,[All],No,Norwalk-Ontario-Wilton,[Districtwide],All Students,All Students,658,100
2018-19,School District,2,Racine,4011,,[All],No,Norway J7,[Districtwide],All Students,All Students,105,100
2018-19,School District,1,Milwaukee,4018,,[All],No,Oak Creek-Franklin Joint,[Districtwide],All Students,All Students,6604,100
2018-19,School District,6,Fond du Lac,4025,,[All],No,Oakfield,[Districtwide],All Students,All Students,548,100
2018-19,School District,1,Waukesha,4060,,[All],No,Oconomowoc Area,[Districtwide],All Students,All Students,5272,100
2018-19,School District,8,Oconto,4074,,[All],No,Oconto Falls Public,[Districtwide],All Students,All Students,1691,100
2018-19,School District,8,Oconto,4067,,[All],No,Oconto Unified,[Districtwide],All Students,All Students,1006,100
2018-19,School District,6,Winnebago,4088,,[All],No,Omro,[Districtwide],All Students,All Students,1154,100
2018-19,School District,4,La Crosse,4095,,[All],No,Onalaska,[Districtwide],All Students,All Students,3133,100
2018-19,School District,7,Sheboygan,4137,,[All],No,Oostburg,[Districtwide],All Students,All Students,995,100
